rank,title,year,rating,duration,imdb_rating,genre,url,movie_url,popularity_score,oscar_wins,oscar_nominations,star_1,star_1_link,star_2,star_2_link,star_3,star_3_link
54,Dune: Part Two,2024,PG-13,2h 46m,8.5,"Action, Adventure, Drama",https://www.imdb.com/title/tt15239678/,https://www.imdb.com/title/tt15239678/,47,0,5,Timothée Chalamet,https://www.imdb.com/name/nm3154303/?ref_=tt_cst_t_1,Zendaya,https://www.imdb.com/name/nm3918035/?ref_=tt_cst_t_2,Rebecca Ferguson,https://www.imdb.com/name/nm0272581/?ref_=tt_cst_t_3
55,City Lights,1931,G,1h 27m,8.5,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0021749/,https://www.imdb.com/title/tt0021749/,0,0,0,Charles Chaplin,https://www.imdb.com/name/nm0000122/?ref_=tt_cst_t_1,Virginia Cherrill,https://www.imdb.com/name/nm0156039/?ref_=tt_cst_t_2,Florence Lee,https://www.imdb.com/name/nm5681967/?ref_=tt_cst_t_3
56,Apocalypse Now,1979,R,2h 27m,8.4,"Drama, Mystery, War",https://www.imdb.com/title/tt0078788/,https://www.imdb.com/title/tt0078788/,387,2,0,Martin Sheen,https://www.imdb.com/name/nm0000640/?ref_=tt_cst_t_1,Marlon Brando,https://www.imdb.com/name/nm0000008/?ref_=tt_cst_t_2,Robert Duvall,https://www.imdb.com/name/nm0000380/?ref_=tt_cst_t_3
57,Memento,2000,R,1h 53m,8.4,"Mystery, Thriller",https://www.imdb.com/title/tt0209144/,https://www.imdb.com/title/tt0209144/,300,0,2,Guy Pearce,https://www.imdb.com/name/nm0001602/?ref_=tt_cst_t_1,Carrie-Anne Moss,https://www.imdb.com/name/nm0005251/?ref_=tt_cst_t_2,Joe Pantoliano,https://www.imdb.com/name/nm0001592/?ref_=tt_cst_t_3
58,WALL·E,2008,G,1h 38m,8.4,"Animation, Adventure, Family",https://www.imdb.com/title/tt0910970/,https://www.imdb.com/title/tt0910970/,694,1,0,Ben Burtt,https://www.imdb.com/name/nm0123785/?ref_=tt_cst_t_1,Elissa Knight,https://www.imdb.com/name/nm2264184/?ref_=tt_cst_t_2,Jeff Garlin,https://www.imdb.com/name/nm0307531/?ref_=tt_cst_t_3
59,Raiders of the Lost Ark,1981,PG,1h 55m,8.4,"Action, Adventure",https://www.imdb.com/title/tt0082971/,https://www.imdb.com/title/tt0082971/,382,4,0,Harrison Ford,https://www.imdb.com/name/nm0000148/?ref_=tt_cst_t_1,Karen Allen,https://www.imdb.com/name/nm0000261/?ref_=tt_cst_t_2,Paul Freeman,https://www.imdb.com/name/nm0293550/?ref_=tt_cst_t_3
60,Das Leben der Anderen,2006,R,2h 17m,8.4,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt0405094/,https://www.imdb.com/title/tt0405094/,831,1,0,Ulrich Mühe,https://www.imdb.com/name/nm0618057/?ref_=tt_cst_t_1,Martina Gedeck,https://www.imdb.com/name/nm0311476/?ref_=tt_cst_t_2,Sebastian Koch,https://www.imdb.com/name/nm0462407/?ref_=tt_cst_t_3
61,Avengers: Infinity War,2018,PG-13,2h 29m,8.4,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt4154756/,https://www.imdb.com/title/tt4154756/,426,0,1,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/?ref_=tt_cst_t_1,Chris Hemsworth,https://www.imdb.com/name/nm1165110/?ref_=tt_cst_t_2,Mark Ruffalo,https://www.imdb.com/name/nm0749263/?ref_=tt_cst_t_3
62,Sunset Blvd.,1950,Approved,1h 50m,8.4,"Drama, Film-Noir",https://www.imdb.com/title/tt0043014/,https://www.imdb.com/title/tt0043014/,1480,3,0,William Holden,https://www.imdb.com/name/nm0000034/?ref_=tt_cst_t_1,Gloria Swanson,https://www.imdb.com/name/nm0841797/?ref_=tt_cst_t_2,Erich von Stroheim,https://www.imdb.com/name/nm0002233/?ref_=tt_cst_t_3
63,Spider-Man: Into the Spider-Verse,2018,PG,1h 57m,8.4,"Animation, Action, Adventure",https://www.imdb.com/title/tt4633694/,https://www.imdb.com/title/tt4633694/,636,1,0,Shameik Moore,https://www.imdb.com/name/nm4271336/?ref_=tt_cst_t_1,Jake Johnson,https://www.imdb.com/name/nm2159926/?ref_=tt_cst_t_2,Hailee Steinfeld,https://www.imdb.com/name/nm2794962/?ref_=tt_cst_t_3
