name,actor_credits,total_wins,total_nominations
Andrea Eckert,70,0,0
Ethan Hawke,105,75,170
Sean Young,136,8,7
Julie Delpy,68,29,66
Rutger Hauer,176,14,6
F. Murray Abraham,135,14,19
Mathieu Amalric,140,22,43
Robert Sean Leonard,44,0,0
Ralph Fiennes,99,52,173
Ethan Hawke,105,75,170
Luke Bracey,25,0,0
Andrew Garfield,40,42,144
Sam Worthington,69,6,20
Rosamund Pike,67,36,80
Ben Affleck,87,75,137
Lou Romano,22,2,3
Kim Sang-kyung,27,0,0
John Goodman,178,33,78
Mary Gibbs,12,0,0
Pete Postlethwaite,101,4,13
Kim Roe-ha,46,0,0
Alison Crosbie,1,0,0
Billy Crystal,79,35,53
Neil Patrick Harris,119,28,70
Brad Garrett,176,4,28
Tom Murray,22,0,0
Mack Swain,165,0,0
María Marull,30,0,0
Mónica Villa,46,0,0
Buster Keaton,153,0,0
Christopher Mintz-Plasse,60,1,9
Jay Baruchel,80,9,16
Patton Oswalt,257,8,29
Darío Grandinetti,104,15,12
Gerard Butler,73,6,17
Joe Keaton,16,0,0
Kathryn McGuire,82,0,0
Richard Dreyfuss,130,20,20
Robert Shaw,65,3,5
John Cazale,7,0,0
Glen Cavender,347,0,0
Marion Mack,10,0,0
Christopher Walken,143,28,38
Roy Scheider,89,2,9
Toni Collette,96,58,117
Philip Seymour Hoffman,63,92,101
Eric Bana,45,9,20
Jon Bernthal,77,8,19
Yves Montand,60,5,8
Matt Damon,103,40,158
Christian Bale,57,84,133
Charles Vanel,181,0,0
Peter van Eyck,96,1,3
Karl Malden,72,9,13
Lee J. Cobb,101,5,10
Jean Arthur,96,18,1
Victor Sjöström,44,4,1
Bibi Andersson,105,8,3
Ingrid Thulin,68,8,3
Claude Rains,79,14,4
Mamta Mohandas,67,7,6
Alida Valli,136,10,4
Vijay Sethupathi,103,18,30
Anurag Kashyap,43,30,62
Patrick Stewart,156,28,59
Talia Shire,78,8,8
Dafne Keen,9,5,17
Sylvester Stallone,98,66,82
Chishû Ryû,316,0,0
Burt Young,168,7,8
Chieko Higashiyama,110,0,0
Sô Yamamura,218,7,1
Jeff Bridges,100,54,121
Mark Ruffalo,82,42,172
Michael Keaton,94,76,56
Julianne Moore,111,120,209
Max von Sydow,164,28,26
Rachel McAdams,42,30,92
Gunnar Björnstrand,144,1,1
Michael Biehn,113,3,3
Bengt Ekerot,35,0,0
Brie Larson,76,68,83
Jacob Tremblay,48,23,45
Sean Bridgers,84,3,2
Suriya,67,19,32
Johnny Depp,99,82,155
Geoffrey Rush,68,49,82
Lijo Mol Jose,0,4,4
Manikandan K.,21,0,0
Sophie Okonedo,90,9,29
Don Cheadle,110,38,121
Charlie Sheen,86,6,23
Tom Berenger,116,6,8
Joaquin Phoenix,58,71,200
Vincent Cassel,111,8,27
Hubert Koundé,41,0,0
Willem Dafoe,159,89,142
Vernon Dobtcheff,380,3,1
Saïd Taghmaoui,81,2,2
Dana Andrews,103,0,0
Myrna Loy,141,0,0
Maria Falconetti,3,0,0
Fredric March,88,37,13
Eugene Silvain,1,0,0
André Berley,44,0,0
Max von Sydow,164,28,26
Linda Blair,77,6,9
Judy Garland,41,26,19
Frank Morgan,100,14,2
Samuel L. Jackson,212,49,99
Ray Bolger,38,4,1
Craig T. Nelson,98,6,16
Holly Hunter,70,48,98
Daniel Brühl,83,27,37
Julie Andrews,52,38,58
Christopher Plummer,219,53,66
Cary-Hiroyuki Tagawa,143,0,0
Wil Wheaton,149,8,6
Joan Allen,50,34,64
Corey Feldman,150,6,5
River Phoenix,26,9,5
Olivia Wilde,69,30,31
Richard Gere,67,22,28
Eleanor Parker,80,6,9
William Holden,75,16,17
Fikret Kuskan,60,6,4
Çetin Tekindor,34,3,4
Faye Dunaway,119,25,47
Hümeyra,39,4,3
Peter Finch,58,11,7
Kim Min-hee,36,18,23
Ha Jung-woo,45,24,26
Cho Jin-woong,56,13,18
Carole Lombard,78,11,1
Emile Hirsch,76,6,31
Eli Marienthal,20,3,1
Yacef Saadi,2,0,0
Jennifer Aniston,71,45,112
Harry Connick Jr.,39,6,19
Jack Benny,60,13,7
Brahim Hadjadj,8,0,0
Robert Stack,101,6,4
Jean Martin,110,0,0
Vince Vaughn,83,9,17
Catherine Keener,87,17,62
Jane Darwell,214,0,0
Chris Elliott,99,7,14
John Carradine,353,0,0
Andie MacDowell,90,8,16
Emilio Echevarría,44,1,3
Goya Toledo,47,4,5
Viola Davis,98,123,248
Bill Murray,107,54,108
Emma Stone,57,110,257
François Leterrier,2,0,0
Octavia Spencer,145,42,100
Maurice Beerblock,1,0,0
Charles Le Clainche,0,0,0
Miyu Irino,205,0,0
Aoi Yûki,440,2,7
Saori Hayami,429,3,16
Laurence Olivier,88,47,36
Joan Fontaine,72,18,4
