name,actor_credits,total_wins,total_nominations
Sareh Bayat,0,8,7
Payman Maadi,27,14,20
Robert Shaw,65,3,5
Aamir Khan,64,59,101
Robert Redford,86,46,65
Tisca Chopra,71,9,9
Alison Doody,35,0,0
Darsheel Safary,24,5,3
Alfred Abel,141,0,0
Sean Connery,95,39,34
Brigitte Helm,37,0,0
Gustav Fröhlich,115,0,0
Stephen Graham,132,14,21
Daniel Mays,107,1,3
George MacKay,53,13,20
Enzo Staiola,15,0,0
Dean-Charles Chapman,23,3,3
Russell Crowe,82,37,85
Jason Statham,61,1,10
Lamberto Maggiorani,17,0,0
Lianella Carell,18,0,0
Guy Pearce,102,24,85
Alexandra Maria Lara,76,5,6
Bruno Ganz,126,28,18
Jodie Foster,83,74,85
Cybill Shepherd,75,13,15
Fatima Sana Shaikh,28,9,19
Ulrich Matthes,66,6,2
Sakshi Tanwar,43,17,28
Phillipa Soo,19,4,3
Lin-Manuel Miranda,42,34,97
Leslie Odom Jr.,52,30,62
Jonah Hill,66,9,67
Margot Robbie,39,36,185
Linda Cardellini,78,3,26
Ken Watanabe,86,10,28
Michael Caine,176,43,69
Viggo Mortensen,66,45,130
Gian Maria Volontè,68,30,8
Mahershala Ali,56,85,96
Lee Van Cleef,173,0,0
Marilyn Monroe,32,11,12
Tony Curtis,135,21,23
Jack Lemmon,101,53,57
Laura Linney,75,47,123
Ed Harris,118,29,52
Burt Lancaster,87,30,21
Jackie Coogan,150,0,0
Spencer Tracy,79,44,25
Edna Purviance,40,0,0
Richard Widmark,78,11,8
Anthony Hopkins,154,74,133
Olivia Colman,130,100,183
Mark Gatiss,134,14,29
George Sanders,138,11,1
Anne Baxter,98,11,5
Daniel Day-Lewis,30,146,94
Emily Mortimer,85,7,17
Ciarán Hinds,128,17,49
Paul Dano,50,26,96
Bette Davis,124,56,33
Sam Neill,155,14,34
Laura Dern,105,62,113
Jeff Goldblum,146,18,37
Fernanda Montenegro,89,52,35
Sharon Stone,156,27,43
Toni Collette,98,58,118
Fernanda Torres,64,28,43
Haley Joel Osment,130,26,30
Akira Terao,71,5,4
Selton Mello,69,46,51
Jinpachi Nezu,71,1,2
Jennifer Connelly,55,16,30
Tom Cruise,53,64,124
Miles Teller,40,5,29
Tommy Lee Jones,87,44,90
Keith David,398,8,20
Javier Bardem,78,121,104
Wilford Brimley,79,1,2
Josh Brolin,79,21,65
Kurt Russell,109,9,19
Ivana Baquero,21,10,10
Ariadna Gil,75,17,12
Sergi López,115,19,32
Gene Hackman,101,34,40
Morgan Freeman,152,66,88
Uma Thurman,76,30,65
Tim Holt,78,3,1
Daryl Hannah,99,6,13
David Carradine,240,10,16
Walter Huston,56,24,4
Eijirô Tôno,324,0,0
Viola Davis,98,123,249
Graham Chapman,29,1,1
Alexander Gould,35,3,3
Jake Gyllenhaal,67,37,108
Richard Attenborough,80,32,23
Steve McQueen,44,7,19
James Garner,98,17,37
Ellen DeGeneres,40,101,97
Hugh Jackman,71,36,110
Albert Brooks,41,30,37
Chieko Baishô,165,14,7
Eric Idle,87,2,9
Takuya Kimura,75,5,6
Tatsuya Gashûin,0,0,0
Anne Bancroft,87,17,45
John Hurt,213,22,19
John Cleese,182,16,26
Kit Connor,28,4,12
Pedro Pascal,74,22,43
Lupita Nyong'o,35,118,127
Clark Gable,82,31,5
Robert Cummings,106,7,5
