rank,title,year,rating,duration,imdb_rating,genre,movie_url,popularity_score,oscar_wins,oscar_nominations,star_1,star_1_link,star_2,star_2_link,star_3,star_3_link
191,The Grand Budapest Hotel,,R,,8.1,"Adventure, Comedy, Crime",https://www.imdb.com/title/tt2278388/,263.0,4,0,Ralph Fiennes,https://www.imdb.com/name/nm0000146/?ref_=tt_cst_t_1,F. Murray Abraham,https://www.imdb.com/name/nm0000719/?ref_=tt_cst_t_2,Mathieu Amalric,https://www.imdb.com/name/nm0023832/?ref_=tt_cst_t_3
192,Hacksaw Ridge,,R,,8.1,"Biography, Drama, History",https://www.imdb.com/title/tt2119532/,456.0,2,0,Andrew Garfield,https://www.imdb.com/name/nm1940449/?ref_=tt_cst_t_1,Sam Worthington,https://www.imdb.com/name/nm0941777/?ref_=tt_cst_t_2,Luke Bracey,https://www.imdb.com/name/nm3478396/?ref_=tt_cst_t_3
193,Gone Girl,,R,,8.1,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt2267998/,214.0,0,1,Ben Affleck,https://www.imdb.com/name/nm0000255/?ref_=tt_cst_t_1,Rosamund Pike,https://www.imdb.com/name/nm0683253/?ref_=tt_cst_t_2,Neil Patrick Harris,https://www.imdb.com/name/nm0000439/?ref_=tt_cst_t_3
194,Salinui chueok,,Not Rated,,8.1,"Crime, Drama, Mystery",https://www.imdb.com/title/tt0353969/,424.0,0,0,Song Kang-ho,https://www.imdb.com/name/nm0814280/?ref_=tt_cst_t_1,Kim Sang-kyung,https://www.imdb.com/name/nm1235292/?ref_=tt_cst_t_2,Kim Roe-ha,https://www.imdb.com/name/nm1323287/?ref_=tt_cst_t_3
195,In the Name of the Father,,R,,8.1,"Biography, Crime, Drama",https://www.imdb.com/title/tt0107207/,2862.0,0,7,Daniel Day-Lewis,https://www.imdb.com/name/nm0000358/?ref_=tt_cst_t_1,Pete Postlethwaite,https://www.imdb.com/name/nm0000592/?ref_=tt_cst_t_2,Alison Crosbie,https://www.imdb.com/name/nm0188949/?ref_=tt_cst_t_3
196,"Monsters, Inc.",,G,,8.1,"Animation, Adventure, Comedy",https://www.imdb.com/title/tt0198781/,993.0,1,0,Billy Crystal,https://www.imdb.com/name/nm0000345/?ref_=tt_cst_t_1,John Goodman,https://www.imdb.com/name/nm0000422/?ref_=tt_cst_t_2,Mary Gibbs,https://www.imdb.com/name/nm0316701/?ref_=tt_cst_t_3
197,Ratatouille,,G,,8.1,"Animation, Adventure, Comedy",https://www.imdb.com/title/tt0382932/,369.0,1,0,Brad Garrett,https://www.imdb.com/name/nm0004951/?ref_=tt_cst_t_1,Lou Romano,https://www.imdb.com/name/nm0738918/?ref_=tt_cst_t_2,Patton Oswalt,https://www.imdb.com/name/nm0652663/?ref_=tt_cst_t_3
198,The Gold Rush,,Approved,,8.1,"Adventure, Comedy, Drama",https://www.imdb.com/title/tt0015864/,,0,2,Charles Chaplin,https://www.imdb.com/name/nm0000122/?ref_=tt_cst_t_1,Mack Swain,https://www.imdb.com/name/nm0841501/?ref_=tt_cst_t_2,Tom Murray,https://www.imdb.com/name/nm0615306/?ref_=tt_cst_t_3
199,Relatos salvajes,,R,,8.1,"Comedy, Drama, Thriller",https://www.imdb.com/title/tt3011894/,2619.0,0,1,Darío Grandinetti,https://www.imdb.com/name/nm0334882/?ref_=tt_cst_t_1,María Marull,https://www.imdb.com/name/nm0555404/?ref_=tt_cst_t_2,Mónica Villa,https://www.imdb.com/name/nm0897640/?ref_=tt_cst_t_3
200,How to Train Your Dragon,,PG,,8.1,"Animation, Action, Adventure",https://www.imdb.com/title/tt0892769/,622.0,0,2,Jay Baruchel,https://www.imdb.com/name/nm0059431/?ref_=tt_cst_t_1,Gerard Butler,https://www.imdb.com/name/nm0124930/?ref_=tt_cst_t_2,Christopher Mintz-Plasse,https://www.imdb.com/name/nm2395586/?ref_=tt_cst_t_3
201,Sherlock Jr.,,Passed,,8.2,"Action, Comedy, Romance",https://www.imdb.com/title/tt0015324/,,0,0,Buster Keaton,https://www.imdb.com/name/nm0000036/?ref_=tt_cst_t_1,Kathryn McGuire,https://www.imdb.com/name/nm0570230/?ref_=tt_cst_t_2,Joe Keaton,https://www.imdb.com/name/nm0444172/?ref_=tt_cst_t_3
202,Jaws,,PG,,8.1,"Adventure, Drama, Horror",https://www.imdb.com/title/tt0073195/,436.0,3,0,Roy Scheider,https://www.imdb.com/name/nm0001702/?ref_=tt_cst_t_1,Robert Shaw,https://www.imdb.com/name/nm0001727/?ref_=tt_cst_t_2,Richard Dreyfuss,https://www.imdb.com/name/nm0000377/?ref_=tt_cst_t_3
